,B02001_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03001_002E,B03001_003E,zipcode
"ZCTA5 10023: Summary level: unknown, state:36> zip code tabulation area:10023",62541,50486,3484,374,7301,0,2485,55696,6845,10023
"ZCTA5 10024: Summary level: unknown, state:36> zip code tabulation area:10024",58102,48949,2750,524,5373,296,1821,51885,6217,10024
"ZCTA5 10025: Summary level: unknown, state:36> zip code tabulation area:10025",92251,64313,12968,934,10065,128,8167,70514,21737,10025
"ZCTA5 10026: Summary level: unknown, state:36> zip code tabulation area:10026",38585,11807,20912,438,2953,300,4171,30303,8282,10026
"ZCTA5 10027: Summary level: unknown, state:36> zip code tabulation area:10027",64988,22869,26156,1241,7372,106,10716,47897,17091,10027
"ZCTA5 10028: Summary level: unknown, state:36> zip code tabulation area:10028",46768,40943,992,104,5086,0,578,43535,3233,10028
"ZCTA5 10029: Summary level: unknown, state:36> zip code tabulation area:10029",76713,28249,26232,1388,7686,196,15682,40969,35744,10029
"ZCTA5 10030: Summary level: unknown, state:36> zip code tabulation area:10030",31060,6245,20490,721,866,190,4557,22738,8322,10030
"ZCTA5 10031: Summary level: unknown, state:36> zip code tabulation area:10031",59586,27471,24874,1260,3267,116,12669,29076,30510,10031
"ZCTA5 10032: Summary level: unknown, state:36> zip code tabulation area:10032",63214,20819,13833,4277,3553,237,27583,20910,42304,10032
"ZCTA5 10033: Summary level: unknown, state:36> zip code tabulation area:10033",58349,26876,8244,3028,2139,60,24113,19224,39125,10033
"ZCTA5 10034: Summary level: unknown, state:36> zip code tabulation area:10034",42399,18162,6845,694,1741,340,17175,13060,29339,10034
"ZCTA5 10035: Summary level: unknown, state:36> zip code tabulation area:10035",36048,8338,15474,589,1802,95,11419,19607,16441,10035
"ZCTA5 10036: Summary level: unknown, state:36> zip code tabulation area:10036",28487,18979,2784,328,5504,21,2022,22328,6159,10036
"ZCTA5 10037: Summary level: unknown, state:36> zip code tabulation area:10037",20462,2619,15290,347,805,8,2531,16170,4292,10037
